class,cg21946667,cg06128509,cg15004938,cg01062443,cg23838005
6.0,0.764,0.0290377,0.677818,0.113496,0.286168
6.0,0.795311,0.0374515,0.802948,0.108098,0.30169
6.0,0.734215,0.0453521,0.727642,0.105966,0.310671
6.0,0.807139,0.0411652,0.773472,0.157322,0.320792
6.0,0.803837,0.0322079,0.756995,0.0757136,0.247731
6.0,0.785473,0.0307999,0.809914,0.0886671,0.321326
6.0,0.768275,0.0316925,0.74619,0.133658,0.286809
6.0,0.816513,0.041107,0.788259,0.103626,0.308797
6.0,0.768123,0.0442711,0.733872,0.0740571,0.276848
6.0,0.799151,0.0392054,0.763702,0.126167,0.316715
6.0,0.766193,0.0321205,0.721155,0.0868334,0.335958
6.0,0.809995,0.0330712,0.769837,0.077024,0.299606
6.0,0.797495,0.0389633,0.776342,0.0990664,0.277028
6.0,0.821268,0.0387349,0.81275,0.137977,0.33413
6.0,0.777739,0.0337536,0.786847,0.110526,0.259407
6.0,0.782107,0.0327772,0.751444,0.0951627,0.261817
6.0,0.805545,0.0351666,0.841487,0.107042,0.309566
6.0,0.799574,0.0268237,0.760667,0.0991201,0.299809
6.0,0.802294,0.031863,0.757173,0.121462,0.339126
6.0,0.756202,0.0379367,0.718814,0.103905,0.256921
6.0,0.79831,0.0339418,0.753036,0.123624,0.284151
6.0,0.763833,0.0404106,0.772904,0.107824,0.288614
6.0,0.781938,0.0480112,0.760155,0.0623396,0.294871
6.0,0.797364,0.0340142,0.75325,0.121259,0.328428
6.0,0.81571,0.025119,0.816408,0.121159,0.297702
6.0,0.77069,0.023565,0.794684,0.104402,0.274579
6.0,0.739371,0.0398623,0.772773,0.126894,0.355126
6.0,0.786539,0.0469182,0.764603,0.117928,0.280329
6.0,0.792325,0.0300605,0.740097,0.0820909,0.324193
6.0,0.810476,0.0381624,0.746466,0.0867627,0.33631
6.0,0.769215,0.0280318,0.750167,0.0992611,0.286903
6.0,0.788946,0.0489236,0.817218,0.140494,0.416109
6.0,0.781225,0.05034,0.720416,0.127663,0.309927
6.0,0.789344,0.0373739,0.70201,0.0812566,0.297423
6.0,0.825521,0.0321089,0.754578,0.0910259,0.295966
6.0,0.799293,0.030593,0.797845,0.121873,0.294144
6.0,0.787093,0.0390773,0.682452,0.0860721,0.269199
6.0,0.792771,0.0286911,0.766066,0.098288,0.353398
6.0,0.816278,0.0283224,0.725303,0.0531968,0.269063
6.0,0.772772,0.034052,0.749682,0.0927593,0.346532
6.0,0.812243,0.0256911,0.772244,0.0773585,0.270951
6.0,0.797669,0.0351966,0.685785,0.0804222,0.256819
6.0,0.797371,0.0366688,0.750975,0.100079,0.24773
6.0,0.78167,0.0354399,0.721164,0.0930551,0.281974
6.0,0.774446,0.0274451,0.728669,0.106644,0.288686
6.0,0.821987,0.0303262,0.714005,0.0896885,0.234707
6.0,0.810598,0.0250878,0.728845,0.146792,0.226822
6.0,0.795725,0.0482507,0.727247,0.0976813,0.293914
6.0,0.791526,0.0298415,0.752122,0.109927,0.316343
6.0,0.778793,0.0297815,0.792029,0.111786,0.328266
6.0,0.759867,0.0314126,0.706001,0.0754087,0.296945
6.0,0.809363,0.0354058,0.765501,0.0955221,0.253865
6.0,0.804986,0.0341998,0.768029,0.115564,0.335482
6.0,0.746628,0.035114,0.727956,0.119629,0.303136
6.0,0.776326,0.0297351,0.723558,0.106561,0.318845
6.0,0.78816,0.0345511,0.785879,0.109766,0.344689
6.0,0.776027,0.039029,0.724359,0.152637,0.274753
6.0,0.817956,0.0240778,0.751131,0.110383,0.313136
6.0,0.816225,0.0364378,0.712361,0.100943,0.200402
6.0,0.789893,0.0318595,0.687077,0.115713,0.293733
6.0,0.778642,0.0404299,0.721726,0.126597,0.304816
6.0,0.797856,0.0374249,0.692367,0.12026,0.275989
6.0,0.833389,0.0319077,0.715083,0.102911,0.214471
6.0,0.812451,0.0409298,0.731139,0.0836123,0.225087
6.0,0.7899,0.0329463,0.755007,0.0782574,0.23854
6.0,0.781381,0.0353057,0.754783,0.115873,0.335199
6.0,0.768866,0.0347898,0.795391,0.103795,0.301833
6.0,0.800322,0.0385479,0.772405,0.124851,0.373225
6.0,0.778454,0.0288613,0.697049,0.109187,0.313102
6.0,0.77706,0.0380641,0.819715,0.237249,0.391872
6.0,0.821871,0.0390642,0.760252,0.104562,0.270537
6.0,0.845422,0.0431216,0.796196,0.142248,0.374457
6.0,0.827963,0.0262277,0.782156,0.115581,0.371058
6.0,0.819218,0.0325209,0.727857,0.122618,0.313368
6.0,0.81066,0.0243436,0.751219,0.115755,0.264352
6.0,0.787365,0.0490238,0.729629,0.102577,0.326715
6.0,0.82205,0.0285355,0.740754,0.0928011,0.30487
6.0,0.808168,0.0518472,0.763266,0.0668706,0.277583
6.0,0.813065,0.0379338,0.745543,0.0949109,0.309712
6.0,0.753416,0.0331301,0.791965,0.108275,0.359415
6.0,0.796438,0.0326321,0.742777,0.130162,0.295624
6.0,0.813453,0.0404075,0.757186,0.0904889,0.291023
6.0,0.786315,0.0366033,0.756257,0.180397,0.290466
6.0,0.767342,0.0509979,0.769133,0.155438,0.271118
6.0,0.792735,0.0410925,0.746182,0.0978133,0.283543
6.0,0.794729,0.0345029,0.769161,0.150554,0.326071
6.0,0.833292,0.028526,0.729583,0.0752202,0.245705
6.0,0.794246,0.0425909,0.715435,0.111723,0.31779
6.0,0.824967,0.0351336,0.724126,0.134772,0.268408
6.0,0.81054,0.0390037,0.777659,0.11174,0.25722
6.0,0.797618,0.0278723,0.716067,0.0752053,0.319044
6.0,0.791103,0.0343194,0.735363,0.0744699,0.277127
6.0,0.7711,0.0501813,0.758202,0.111786,0.312336
6.0,0.819978,0.0323151,0.741968,0.0798503,0.241513
6.0,0.830293,0.0456788,0.776581,0.112356,0.337891
6.0,0.732495,0.0297274,0.730414,0.109193,0.28673
6.0,0.781844,0.0336868,0.752457,0.14718,0.463831
6.0,0.77995,0.0300586,0.722365,0.117732,0.312928
6.0,0.759869,0.0451635,0.734271,0.119858,0.225781
6.0,0.77678,0.0285187,0.741571,0.0873884,0.226231
6.0,0.770054,0.0349639,0.74532,0.102733,0.255083
6.0,0.779494,0.0448111,0.740199,0.136523,0.305777
6.0,0.808398,0.0359917,0.765057,0.160092,0.26626
6.0,0.832963,0.0399619,0.729311,0.0834285,0.25946
6.0,0.804707,0.0325074,0.76966,0.114681,0.226376
