class,cg06385324,cg03068376,cg26864230,cg09545123,cg09007236
-1.0,0.0287596,0.0229353,0.0262185,0.0267177,0.0387736
-1.0,0.0556888,0.0405873,0.0494863,0.0716333,0.0361267
-1.0,0.0308357,0.0289499,0.0294461,0.0375021,0.02552
-1.0,0.0360058,0.0237376,0.0180205,0.0175061,0.0282678
-1.0,0.0342973,0.033543,0.0332765,0.0419597,0.0338316
-1.0,0.0267384,0.029238,0.0386036,0.0700426,0.0406876
-1.0,0.0388544,0.0276262,0.0347778,0.0457412,0.0366385
-1.0,0.0436582,0.0409346,0.0342416,0.0430051,0.036718
-1.0,0.024166,0.0293818,0.0251464,0.0317902,0.0221916
-1.0,0.0435991,0.038379,0.0267612,0.0778766,0.0300982
-1.0,0.034209,0.0310144,0.0265227,0.0558531,0.0421717
-1.0,0.0374213,0.029216,0.0146125,0.0216849,0.0266096
-1.0,0.0220205,0.0288527,0.0243345,0.0391946,0.0239155
-1.0,0.0283155,0.0267128,0.0208522,0.0541063,0.0405218
-1.0,0.0335735,0.0423314,0.0202975,0.0569501,0.0289448
-1.0,0.040099,0.0403402,0.0281112,0.0391622,0.0465121
-1.0,0.037738,0.0250714,0.0189438,0.0155428,0.0500312
-1.0,0.0245478,0.0454303,0.0210833,0.0215822,0.0299164
-1.0,0.0220001,0.0394236,0.0383505,0.0420525,0.0354082
-1.0,0.0430279,0.0295308,0.0281534,0.0334558,0.044605
-1.0,0.0399952,0.0286646,0.0336719,0.0330807,0.0267541
-1.0,0.0303732,0.0325838,0.0300674,0.0516342,0.0501574
-1.0,0.0422062,0.0318056,0.0372246,0.0375529,0.0414573
-1.0,0.0251896,0.0375827,0.0323543,0.0568171,0.0413593
-1.0,0.0407541,0.0413608,0.0548487,0.0958065,0.0507638
-1.0,0.0347465,0.0355475,0.0296865,0.0447162,0.0395723
-1.0,0.0226748,0.0310089,0.0360757,0.0431963,0.032749
-1.0,0.021517,0.0253814,0.0282807,0.0370856,0.0208213
